OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL624	1	1	1	1	1	yes	no	no	no	yes	61	1.27	48
ORTHOMCL625	1	1	1	1	1	yes	yes	no	no	yes	92	1.92	48
ORTHOMCL626	1	1	1	1	1	no	yes	yes	yes	yes	116	2.32	50
ORTHOMCL627	1	1	1	1	1	yes	no	no	no	yes	95	3.06	31
ORTHOMCL628	1	1	1	1	1	yes	yes	yes	no	yes	104	2.12	49
ORTHOMCL629	1	1	1	1	1	no	no	no	no	yes	28	1.33	21
ORTHOMCL630	1	0	1	1	1	no	no	no	no	yes	31	1.29	24
ORTHOMCL631	1	1	1	1	1	no	no	yes	no	yes	95	2.50	38
ORTHOMCL632	1	1	1	1	1	no	no	yes	yes	yes	76	1.65	46
ORTHOMCL633	1	1	1	1	1	yes	no	yes	yes	yes	91	2.07	44
ORTHOMCL634	1	1	1	1	1	yes	no	no	no	yes	62	1.51	41
ORTHOMCL637	1	1	1	1	1	yes	yes	yes	yes	yes	116	2.27	51
ORTHOMCL638	1	1	1	1	1	yes	no	yes	yes	yes	75	1.53	49
ORTHOMCL639	1	1	1	1	1	yes	yes	yes	yes	yes	129	2.53	51
ORTHOMCL640	1	1	1	1	1	yes	yes	no	no	yes	73	1.52	48
ORTHOMCL642	1	1	0	1	1	no	no	no	no	yes	32	1.10	29
ORTHOMCL643	1	1	1	1	1	no	yes	yes	no	yes	70	1.43	49
ORTHOMCL644	1	1	1	1	1	yes	yes	yes	yes	yes	115	2.25	51
ORTHOMCL645	1	1	1	1	1	yes	yes	yes	yes	yes	61	1.20	51
ORTHOMCL647	1	1	1	1	1	yes	no	yes	yes	yes	107	2.14	50
ORTHOMCL648	1	1	1	1	1	yes	yes	yes	no	yes	99	1.98	50
ORTHOMCL649	1	1	1	1	1	no	yes	no	yes	yes	130	3.25	40
ORTHOMCL650	1	1	1	1	1	yes	no	yes	no	yes	53	1.08	49
ORTHOMCL651	1	1	1	1	1	yes	yes	yes	no	yes	71	1.42	50
ORTHOMCL652	1	1	1	1	1	yes	yes	yes	no	yes	57	1.19	48
ORTHOMCL653	1	1	1	1	1	yes	yes	yes	yes	yes	108	2.12	51
ORTHOMCL654	1	1	1	1	1	yes	yes	yes	yes	yes	119	2.33	51
ORTHOMCL655	1	1	1	1	1	yes	no	yes	yes	yes	92	1.88	49
ORTHOMCL656	1	1	1	1	1	yes	yes	yes	yes	yes	93	1.82	51
ORTHOMCL657	1	1	1	1	1	no	no	no	no	yes	140	5.60	25
ORTHOMCL659	1	1	1	1	1	no	yes	yes	yes	yes	71	1.42	50
ORTHOMCL660	1	1	1	1	1	yes	no	yes	yes	yes	93	1.86	50
ORTHOMCL661	1	1	1	0	1	yes	yes	no	no	yes	76	2.53	30
ORTHOMCL662	1	1	1	1	1	yes	no	yes	yes	yes	83	1.73	48
ORTHOMCL663	1	1	1	1	1	yes	no	yes	yes	yes	110	2.20	50
ORTHOMCL664	1	1	1	1	1	yes	yes	yes	yes	yes	121	2.37	51
ORTHOMCL666	1	1	1	1	1	yes	yes	yes	yes	yes	125	2.45	51
ORTHOMCL669	1	1	1	1	1	yes	no	yes	yes	yes	60	1.20	50
ORTHOMCL670	1	1	1	1	1	no	yes	yes	no	yes	61	1.24	49
ORTHOMCL671	1	1	1	1	1	yes	yes	yes	yes	yes	129	2.53	51
ORTHOMCL672	1	1	1	1	1	yes	yes	yes	no	yes	70	1.40	50
ORTHOMCL673	1	1	1	1	1	no	no	yes	yes	yes	107	2.18	49
ORTHOMCL674	1	1	1	1	1	yes	yes	yes	no	yes	94	1.88	50
ORTHOMCL675	1	1	1	1	1	no	no	yes	yes	yes	57	1.27	45
ORTHOMCL677	1	1	1	1	1	no	yes	yes	no	yes	60	1.22	49
ORTHOMCL678	1	1	1	1	1	yes	no	yes	no	yes	48	1.20	40
ORTHOMCL679	1	1	1	1	1	no	no	no	no	yes	41	1.24	33
ORTHOMCL680	1	1	1	1	1	no	no	yes	yes	yes	70	1.43	49
ORTHOMCL681	1	1	1	1	1	yes	yes	yes	yes	yes	134	2.63	51
ORTHOMCL682	1	1	1	1	1	no	yes	yes	yes	yes	120	2.40	50
ORTHOMCL683	1	1	1	1	1	no	yes	no	yes	yes	113	2.31	49
ORTHOMCL684	1	1	1	1	1	yes	no	yes	yes	yes	112	2.24	50
ORTHOMCL685	1	1	1	1	1	yes	yes	yes	yes	yes	122	2.39	51
ORTHOMCL687	1	1	1	1	1	no	no	yes	no	yes	54	1.46	37
ORTHOMCL688	1	1	1	1	1	yes	yes	yes	yes	yes	67	1.31	51
ORTHOMCL689	1	1	1	1	1	yes	no	no	no	yes	56	1.33	42
ORTHOMCL691	1	1	1	1	1	yes	yes	yes	yes	yes	117	2.29	51
ORTHOMCL693	1	1	1	1	1	no	no	no	no	yes	118	2.95	40
ORTHOMCL694	1	1	1	1	1	no	yes	no	yes	yes	113	2.90	39
ORTHOMCL695	1	1	1	1	1	yes	yes	no	yes	yes	117	2.34	50
ORTHOMCL697	1	1	1	1	1	yes	no	yes	yes	yes	76	1.77	43
ORTHOMCL698	1	1	1	1	1	yes	yes	yes	yes	yes	125	2.45	51
ORTHOMCL699	1	1	1	1	1	no	yes	no	no	yes	86	2.61	33
ORTHOMCL700	1	1	1	1	1	yes	no	yes	yes	yes	96	1.92	50
ORTHOMCL701	1	1	1	1	1	yes	yes	yes	yes	yes	77	1.51	51
ORTHOMCL702	1	1	1	1	1	yes	yes	yes	yes	yes	107	2.10	51
ORTHOMCL703	1	1	1	1	1	yes	yes	no	no	yes	50	1.06	47
ORTHOMCL704	1	1	1	1	1	yes	yes	yes	yes	yes	60	1.18	51
ORTHOMCL705	1	1	1	1	1	yes	yes	yes	yes	yes	118	2.31	51
ORTHOMCL706	1	1	1	1	1	yes	no	no	no	yes	43	1.19	36
ORTHOMCL707	1	1	1	1	1	no	yes	yes	yes	yes	62	1.24	50
ORTHOMCL708	1	1	1	1	1	no	no	no	no	yes	52	1.27	41
ORTHOMCL710	1	1	1	1	1	yes	yes	yes	yes	yes	73	1.43	51
ORTHOMCL711	1	0	1	1	1	yes	no	no	no	yes	47	1.38	34
ORTHOMCL712	1	1	1	1	1	no	yes	yes	yes	yes	71	1.42	50
ORTHOMCL713	1	1	1	1	1	no	no	yes	yes	yes	48	1.14	42
ORTHOMCL714	1	1	1	1	1	yes	yes	yes	no	yes	113	2.26	50
ORTHOMCL715	1	1	1	1	1	yes	yes	yes	yes	yes	121	2.37	51
ORTHOMCL717	1	1	1	1	1	yes	yes	yes	no	yes	63	1.26	50
ORTHOMCL718	1	1	1	1	1	no	yes	yes	yes	yes	57	1.14	50
ORTHOMCL719	1	1	1	1	1	yes	no	yes	yes	yes	93	2.33	40
ORTHOMCL720	1	1	1	1	1	yes	yes	yes	yes	yes	104	2.04	51
ORTHOMCL721	1	1	1	1	1	yes	no	yes	no	yes	59	1.40	42
ORTHOMCL722	1	1	1	1	1	yes	yes	yes	yes	yes	78	1.53	51
ORTHOMCL723	1	1	1	1	1	yes	yes	yes	yes	yes	57	1.12	51
ORTHOMCL726	1	1	1	1	1	yes	no	yes	yes	yes	58	1.18	49
ORTHOMCL727	1	1	1	1	1	yes	no	yes	no	yes	41	1.08	38
ORTHOMCL728	1	1	1	1	1	yes	yes	yes	yes	yes	131	2.57	51
ORTHOMCL729	1	1	1	1	1	yes	yes	no	yes	yes	88	2.20	40
ORTHOMCL730	1	1	1	1	1	yes	no	yes	no	yes	79	1.84	43
ORTHOMCL733	1	1	1	1	1	yes	yes	yes	no	yes	51	1.11	46
ORTHOMCL734	1	1	1	1	1	yes	no	no	no	yes	59	1.31	45
ORTHOMCL735	1	1	1	1	1	yes	yes	yes	yes	yes	110	2.16	51
ORTHOMCL736	1	1	1	1	1	no	yes	yes	yes	yes	131	2.62	50
ORTHOMCL737	1	1	1	1	1	no	no	yes	yes	yes	121	2.52	48
ORTHOMCL738	1	1	1	1	1	yes	no	yes	no	yes	63	1.43	44
ORTHOMCL739	1	1	1	1	1	no	no	yes	yes	yes	109	2.22	49
ORTHOMCL740	1	1	1	1	1	yes	yes	yes	no	yes	114	2.28	50
ORTHOMCL741	1	1	1	1	1	yes	yes	yes	yes	yes	102	2.00	51
ORTHOMCL742	1	1	1	1	1	no	yes	yes	no	yes	69	1.44	48
ORTHOMCL743	1	1	1	1	1	yes	yes	yes	yes	yes	68	1.33	51
ORTHOMCL746	1	1	1	1	1	yes	yes	yes	yes	yes	108	2.12	51
ORTHOMCL747	1	1	1	1	1	yes	yes	yes	yes	yes	71	1.39	51
ORTHOMCL748	1	1	1	1	1	no	yes	yes	yes	yes	59	1.18	50
ORTHOMCL749	1	1	1	1	1	no	yes	yes	yes	yes	106	2.12	50
ORTHOMCL750	1	1	1	1	1	yes	no	yes	yes	yes	132	2.64	50
ORTHOMCL751	1	1	1	1	1	yes	yes	yes	yes	yes	60	1.18	51
ORTHOMCL753	1	1	0	1	1	yes	no	no	no	yes	136	4.25	32
ORTHOMCL754	1	1	1	1	1	yes	yes	yes	no	yes	87	1.74	50
ORTHOMCL756	1	1	1	1	1	yes	no	yes	yes	yes	82	1.64	50
ORTHOMCL757	1	1	1	1	1	no	no	yes	no	yes	112	4.31	26
ORTHOMCL758	1	1	1	1	1	yes	no	no	no	yes	29	1.04	28
ORTHOMCL759	1	1	1	1	1	yes	yes	yes	yes	yes	123	2.41	51
ORTHOMCL760	1	1	1	1	1	yes	yes	yes	yes	yes	66	1.29	51
ORTHOMCL761	1	1	1	1	1	yes	yes	yes	yes	yes	124	2.43	51
ORTHOMCL762	1	1	1	1	1	yes	no	yes	no	yes	56	1.14	49
ORTHOMCL763	1	1	1	1	1	yes	yes	no	yes	yes	96	1.92	50
ORTHOMCL764	1	1	1	1	1	yes	yes	no	no	yes	69	1.77	39
ORTHOMCL765	1	1	1	1	1	yes	yes	yes	yes	yes	111	2.18	51
ORTHOMCL766	1	1	1	1	1	yes	yes	yes	no	yes	58	1.23	47
ORTHOMCL768	1	1	1	1	1	yes	yes	no	yes	yes	75	1.53	49
ORTHOMCL769	1	1	1	1	1	yes	no	yes	yes	yes	67	1.34	50
ORTHOMCL770	1	1	1	1	1	yes	no	yes	no	yes	90	1.88	48
ORTHOMCL771	1	1	1	1	1	yes	yes	yes	no	yes	61	1.24	49
ORTHOMCL772	1	1	1	1	1	yes	yes	yes	no	yes	108	2.16	50
ORTHOMCL774	1	1	1	1	1	yes	yes	no	yes	yes	88	1.76	50
ORTHOMCL775	1	1	1	1	1	yes	yes	yes	yes	yes	107	2.10	51
ORTHOMCL776	1	1	1	1	1	yes	yes	yes	yes	yes	61	1.20	51
ORTHOMCL777	1	1	1	1	1	yes	no	yes	no	yes	46	1.35	34
ORTHOMCL779	1	1	1	1	1	yes	yes	yes	yes	yes	91	1.78	51
ORTHOMCL780	1	1	1	1	1	yes	yes	yes	yes	yes	126	2.47	51
ORTHOMCL782	1	1	1	1	1	yes	yes	no	yes	yes	66	1.35	49
ORTHOMCL783	1	1	1	1	1	yes	yes	yes	yes	yes	56	1.10	51
ORTHOMCL785	1	1	1	1	1	yes	no	yes	no	yes	63	1.57	40
ORTHOMCL786	1	1	1	1	1	yes	yes	yes	no	yes	72	1.44	50
ORTHOMCL787	1	1	1	1	1	no	yes	yes	yes	yes	59	1.20	49
ORTHOMCL788	1	1	1	1	1	no	yes	yes	no	yes	54	1.46	37
ORTHOMCL789	1	1	1	1	1	yes	yes	yes	no	yes	54	1.10	49
ORTHOMCL790	1	1	1	1	1	yes	yes	yes	yes	yes	56	1.10	51
ORTHOMCL791	1	1	1	1	1	yes	no	no	no	yes	77	1.64	47
ORTHOMCL792	1	1	1	0	1	yes	yes	yes	no	yes	82	2.16	38
