OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL485	0	0	0	0	1	no	no	no	no	yes	158	6.87	23
ORTHOMCL486	1	0	1	1	1	yes	no	yes	yes	yes	112	2.24	50
ORTHOMCL487	1	1	1	0	1	yes	yes	yes	no	yes	58	1.16	50
ORTHOMCL488	1	0	1	1	1	yes	no	yes	yes	yes	111	2.22	50
ORTHOMCL489	0	1	1	1	1	no	yes	yes	yes	yes	96	1.92	50
ORTHOMCL490	1	1	1	1	1	yes	yes	yes	yes	yes	112	2.20	51
ORTHOMCL491	1	0	1	0	1	yes	no	yes	no	yes	70	1.46	48
ORTHOMCL492	1	0	1	1	1	yes	no	yes	yes	yes	79	1.58	50
ORTHOMCL493	1	0	1	1	1	yes	no	yes	yes	yes	112	2.33	48
ORTHOMCL494	1	0	1	1	1	yes	no	yes	yes	yes	136	3.02	45
ORTHOMCL496	1	1	1	0	1	yes	yes	yes	no	yes	47	1.24	38
ORTHOMCL497	0	0	1	1	1	no	no	yes	yes	yes	86	2.00	43
ORTHOMCL498	0	0	1	1	1	no	no	yes	yes	yes	139	2.84	49
ORTHOMCL499	0	0	0	0	1	no	no	no	no	yes	43	1.39	31
ORTHOMCL500	1	0	0	0	1	yes	no	no	no	yes	149	3.39	44
ORTHOMCL501	1	1	1	1	1	yes	yes	yes	yes	yes	59	1.16	51
ORTHOMCL502	0	0	1	0	1	no	no	yes	no	yes	62	1.77	35
ORTHOMCL503	1	1	1	1	1	yes	yes	yes	yes	yes	129	2.53	51
ORTHOMCL504	0	0	0	0	1	no	no	no	no	yes	155	3.97	39
ORTHOMCL506	1	0	1	1	1	yes	no	yes	yes	yes	42	1.14	37
ORTHOMCL507	0	1	1	1	1	no	yes	yes	yes	yes	110	2.20	50
ORTHOMCL508	1	0	0	0	1	yes	no	no	no	yes	84	1.83	46
ORTHOMCL509	1	1	1	1	1	yes	yes	yes	yes	yes	112	2.20	51
ORTHOMCL511	0	1	1	0	1	no	yes	yes	no	yes	58	1.18	49
ORTHOMCL512	1	1	1	1	1	yes	yes	yes	yes	yes	111	2.18	51
ORTHOMCL513	1	1	1	1	1	yes	yes	yes	yes	yes	138	2.71	51
ORTHOMCL515	1	1	1	1	1	yes	yes	yes	yes	yes	111	2.18	51
ORTHOMCL517	1	0	1	0	1	yes	no	yes	no	yes	140	3.41	41
ORTHOMCL518	0	0	1	0	1	no	no	yes	no	yes	35	1.59	22
ORTHOMCL520	1	0	1	0	1	yes	no	yes	no	yes	64	1.33	48
ORTHOMCL521	0	1	1	1	1	no	yes	yes	yes	yes	90	1.80	50
ORTHOMCL522	1	1	1	1	1	yes	yes	yes	yes	yes	62	1.22	51
ORTHOMCL523	1	0	0	0	1	yes	no	no	no	yes	40	1.11	36
ORTHOMCL524	0	0	0	0	1	no	no	no	no	yes	50	1.92	26
ORTHOMCL525	1	0	1	1	1	yes	no	yes	yes	yes	40	1.08	37
ORTHOMCL526	1	1	1	0	1	yes	yes	yes	no	yes	148	2.96	50
ORTHOMCL527	0	0	1	0	1	no	no	yes	no	yes	49	1.07	46
ORTHOMCL529	1	0	1	0	1	yes	no	yes	no	yes	45	1.18	38
ORTHOMCL530	1	1	1	0	1	yes	yes	yes	no	yes	110	2.20	50
ORTHOMCL531	0	0	0	1	1	no	no	no	yes	yes	123	3.24	38
ORTHOMCL532	0	0	0	0	1	no	no	no	no	yes	94	2.29	41
ORTHOMCL533	1	0	0	0	1	yes	no	no	no	yes	28	1.27	22
ORTHOMCL534	1	1	1	1	1	yes	yes	yes	yes	yes	134	2.63	51
ORTHOMCL535	1	0	0	0	1	yes	no	no	no	yes	125	2.66	47
ORTHOMCL536	1	0	1	0	1	yes	no	yes	no	yes	80	1.70	47
ORTHOMCL537	0	0	1	0	1	no	no	yes	no	yes	76	1.62	47
ORTHOMCL539	1	1	1	1	1	yes	yes	yes	yes	yes	114	2.24	51
ORTHOMCL540	1	0	1	0	1	yes	no	yes	no	yes	40	1.11	36
ORTHOMCL541	1	0	1	1	1	yes	no	yes	yes	yes	137	3.34	41
ORTHOMCL542	1	0	1	1	1	yes	no	yes	yes	yes	93	1.90	49
ORTHOMCL543	1	1	1	0	1	yes	yes	yes	no	yes	127	2.54	50
ORTHOMCL544	1	1	1	1	1	yes	yes	yes	yes	yes	58	1.14	51
ORTHOMCL545	0	1	1	1	1	no	yes	yes	yes	yes	93	1.86	50
ORTHOMCL546	1	1	1	1	1	yes	yes	yes	yes	yes	114	2.24	51
ORTHOMCL547	1	0	1	1	1	yes	no	yes	yes	yes	129	2.58	50
