spleen-down	liver-down
MSTRG.48629	MSTRG.14735
MSTRG.52261	MSTRG.11052
MSTRG.40001	MSTRG.17019
MSTRG.42694	MSTRG.7401
MSTRG.52608	MSTRG.55597
MSTRG.42114	MSTRG.27357
MSTRG.51984	MSTRG.39330
MSTRG.13241	MSTRG.16810
MSTRG.52271	MSTRG.26805
MSTRG.9220	MSTRG.52860
MSTRG.18417	MSTRG.47192
MSTRG.16300	MSTRG.43001
MSTRG.42300	MSTRG.13334
MSTRG.28442	MSTRG.42638
MSTRG.33163	MSTRG.35754
MSTRG.24933	MSTRG.132
MSTRG.14586	MSTRG.32906
MSTRG.41991	MSTRG.54467
MSTRG.40978	MSTRG.22707
MSTRG.15046	MSTRG.25325
MSTRG.34193	MSTRG.37751
MSTRG.34911	MSTRG.19956
MSTRG.43556	MSTRG.26177
MSTRG.6862	MSTRG.34354
MSTRG.28750	MSTRG.31407
MSTRG.34297	MSTRG.43011
MSTRG.14521	MSTRG.35928
MSTRG.45108	MSTRG.55395
MSTRG.14116	MSTRG.26908
MSTRG.627	MSTRG.19718
MSTRG.3291	MSTRG.37043
MSTRG.2117	MSTRG.1291
MSTRG.12158	MSTRG.37716
MSTRG.16018	MSTRG.46304
MSTRG.49811	MSTRG.27215
MSTRG.38379	MSTRG.17725
MSTRG.43249	MSTRG.13053
MSTRG.22748	MSTRG.46938
MSTRG.52209	MSTRG.19900
MSTRG.8753	MSTRG.38339
MSTRG.54098	MSTRG.24348
MSTRG.42591	MSTRG.10177
MSTRG.41664	MSTRG.38125
MSTRG.22502	MSTRG.42056
MSTRG.35057	MSTRG.49399
MSTRG.32220	MSTRG.49957
MSTRG.16529	MSTRG.11647
MSTRG.1226	MSTRG.26952
MSTRG.13023	MSTRG.25037
MSTRG.49102	MSTRG.42538
MSTRG.21808	MSTRG.50325
MSTRG.37673	MSTRG.32577
MSTRG.11780	MSTRG.28129
MSTRG.22774	MSTRG.5755
MSTRG.48730	MSTRG.6195
MSTRG.22775	MSTRG.10234
MSTRG.38604	MSTRG.31166
MSTRG.27054	MSTRG.18137
MSTRG.13821	MSTRG.39702
MSTRG.3972	MSTRG.7256
MSTRG.48067	MSTRG.6213
MSTRG.11539	MSTRG.34555
MSTRG.50443	MSTRG.16509
MSTRG.10495	MSTRG.46604
MSTRG.11542	MSTRG.28618
MSTRG.7810	MSTRG.32451
MSTRG.2827	MSTRG.32307
MSTRG.18430	MSTRG.27176
MSTRG.6104	MSTRG.19575
MSTRG.38891	MSTRG.10100
MSTRG.36388	MSTRG.23246
MSTRG.30084	MSTRG.53397
MSTRG.25465	MSTRG.49318
MSTRG.35346	MSTRG.17666
MSTRG.29863	MSTRG.34762
MSTRG.48454	MSTRG.2890
MSTRG.47099	MSTRG.22691
MSTRG.32146	MSTRG.40429
MSTRG.32030	MSTRG.38196
