spleen-up	liver-up
MSTRG.23232	
MSTRG.22766	
MSTRG.3135	
MSTRG.33344	
MSTRG.40006	
MSTRG.22279	
MSTRG.49496	
MSTRG.10343	
MSTRG.45324	
MSTRG.41898	
MSTRG.50842	
MSTRG.18904	
MSTRG.7635	
MSTRG.7603	
MSTRG.22994	
MSTRG.25449	
MSTRG.32781	
MSTRG.18969	
MSTRG.33503	
MSTRG.8345	
MSTRG.13930	
MSTRG.32396	
MSTRG.26672	
MSTRG.32431	
MSTRG.39735	
MSTRG.35265	
MSTRG.11899	
MSTRG.29248	
MSTRG.16393	
MSTRG.37945	
MSTRG.19918	
MSTRG.12579	
MSTRG.1816	
MSTRG.55316	
MSTRG.21315	
MSTRG.37027	
MSTRG.42810	
MSTRG.8538	
MSTRG.10487	
MSTRG.55729	
MSTRG.28903	
MSTRG.6381	
MSTRG.32505	
MSTRG.41364	
MSTRG.37134	
MSTRG.28939	
MSTRG.37959	
MSTRG.50993	
MSTRG.36889	
MSTRG.244	
MSTRG.35883	
MSTRG.29066	
MSTRG.36634	
MSTRG.14742	
MSTRG.32088	
MSTRG.30202	
MSTRG.12501	
MSTRG.7522	
MSTRG.37873	
MSTRG.15884	
MSTRG.23736	
MSTRG.7118	
MSTRG.23444	
MSTRG.11224	
MSTRG.8215	
MSTRG.46938	
MSTRG.9648	
MSTRG.34644	
MSTRG.54775	
MSTRG.13614	
MSTRG.46863	
MSTRG.2156	
MSTRG.14344	
MSTRG.54097	
MSTRG.37948	
MSTRG.44003	
MSTRG.14812	
MSTRG.37969	
MSTRG.23146	
MSTRG.25221	
MSTRG.43615	
MSTRG.12398	
MSTRG.29881	
MSTRG.24349	
MSTRG.28714	
MSTRG.51967	
MSTRG.33084	
MSTRG.37960	
MSTRG.37446	
MSTRG.21593	
MSTRG.21188	
MSTRG.29182	
MSTRG.45289	
MSTRG.43485	
MSTRG.9636	
MSTRG.3152	
MSTRG.30428	
MSTRG.7219	
MSTRG.19637	
MSTRG.43829	
MSTRG.52883	
MSTRG.24730	
MSTRG.31239	
MSTRG.22168	
MSTRG.19420	
MSTRG.33884	
MSTRG.39381	
MSTRG.43377	
MSTRG.6604	
MSTRG.36227	
MSTRG.37308	
MSTRG.26805	
MSTRG.27408	
MSTRG.54754	
MSTRG.44241	
MSTRG.37964	
MSTRG.48236	
MSTRG.43621	
MSTRG.32086	
MSTRG.14163	
MSTRG.3842	
MSTRG.43671	
MSTRG.24789	
MSTRG.35907	
MSTRG.20942	
MSTRG.9639	
MSTRG.19411	
MSTRG.3283	
MSTRG.33351	
MSTRG.44233	
MSTRG.52331	
MSTRG.37976	
MSTRG.47844	
MSTRG.14456	
MSTRG.35885	
MSTRG.37895	
MSTRG.25249	
MSTRG.25555	
MSTRG.37285	
MSTRG.4528	
MSTRG.37880	
MSTRG.35266	
MSTRG.37861	
MSTRG.23245	
MSTRG.3176	
MSTRG.47230	
MSTRG.51611	
MSTRG.51967	
MSTRG.37876	
MSTRG.35094	
MSTRG.49390	
MSTRG.6762	
MSTRG.20884	
MSTRG.37882	
MSTRG.22415	
MSTRG.47615	
MSTRG.45785	
MSTRG.17308	
MSTRG.32499	
MSTRG.6715	
MSTRG.50859	
MSTRG.10619	
MSTRG.37968	
MSTRG.6610	
MSTRG.37956	
MSTRG.37948	
MSTRG.26674	
MSTRG.10451	
MSTRG.9025	
MSTRG.37940	
MSTRG.37877	
MSTRG.37971	
MSTRG.26692	
MSTRG.54767	
MSTRG.26760	
MSTRG.50790	
MSTRG.37328	
MSTRG.30974	
MSTRG.22310	
MSTRG.2549	
MSTRG.37533	
MSTRG.32291	
MSTRG.17447	
MSTRG.43197	
MSTRG.29332	
MSTRG.16599	
MSTRG.50124	
MSTRG.37951	
MSTRG.37885	
MSTRG.37876	
MSTRG.9398	
MSTRG.9821	
MSTRG.37955	
MSTRG.37941	
MSTRG.18210	
MSTRG.32957	
MSTRG.16501	
MSTRG.33879	
MSTRG.37954	
MSTRG.37867	
MSTRG.2668	
MSTRG.1431	
MSTRG.13515	
MSTRG.33999	
MSTRG.38239	
MSTRG.37868	
MSTRG.37977	
MSTRG.17589	
MSTRG.12619	
MSTRG.55615	
MSTRG.51065	
MSTRG.28552	
MSTRG.47115	
MSTRG.37893	
MSTRG.49936	
MSTRG.12398	
MSTRG.6406	
MSTRG.55966	
MSTRG.32226	
MSTRG.41585	
MSTRG.22203	
MSTRG.54750	
MSTRG.805	
MSTRG.17004	
MSTRG.54780	
MSTRG.23227	
MSTRG.16611	
MSTRG.18304	
MSTRG.40031	
MSTRG.22670	
MSTRG.21643	
MSTRG.15254	
MSTRG.26316	
MSTRG.22275	
MSTRG.8621	
MSTRG.22150	
MSTRG.47486	
MSTRG.3132	
MSTRG.17116	
MSTRG.32041	
MSTRG.22356	
MSTRG.37724	
MSTRG.29460	
MSTRG.45102	
MSTRG.50355	
MSTRG.10792	
MSTRG.26243	
MSTRG.25802	
MSTRG.37947	
MSTRG.9646	
MSTRG.3868	
MSTRG.45601	
MSTRG.37312	
MSTRG.5831	
MSTRG.1324	
MSTRG.37875	
MSTRG.44985	
MSTRG.29767	
MSTRG.54769	
MSTRG.55907	
MSTRG.13942	
MSTRG.10792	
MSTRG.34661	
MSTRG.37961	
MSTRG.2868	
MSTRG.37952	
MSTRG.2596	
MSTRG.9223	
MSTRG.21991	
MSTRG.25434	
MSTRG.11676	
MSTRG.47377	
MSTRG.43493	
MSTRG.30198	
MSTRG.2248	
MSTRG.43494	
