OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL385	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL386	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.53	51
ORTHOMCL387	0	1	1	1	1	no	yes	yes	yes	yes	31	0.69	45
ORTHOMCL388	0	1	1	1	1	no	yes	yes	yes	yes	31	0.74	42
ORTHOMCL389	0	1	0	1	1	no	yes	no	yes	yes	32	1.00	32
ORTHOMCL390	1	0	0	0	1	yes	no	no	no	yes	38	3.80	10
ORTHOMCL391	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL392	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.33	46
ORTHOMCL393	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.41	51
ORTHOMCL394	1	1	1	1	1	yes	yes	yes	yes	yes	29	0.58	50
ORTHOMCL395	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL396	1	1	1	1	1	yes	yes	yes	yes	yes	24	0.47	51
ORTHOMCL397	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.29	51
ORTHOMCL398	1	1	1	1	1	yes	yes	yes	yes	yes	24	0.48	50
ORTHOMCL399	1	1	1	1	1	yes	yes	yes	yes	yes	26	0.51	51
ORTHOMCL400	1	1	1	1	1	yes	yes	yes	yes	yes	46	0.96	48
ORTHOMCL401	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.36	45
ORTHOMCL402	1	0	1	0	1	yes	no	yes	no	yes	26	1.18	22
ORTHOMCL403	1	0	0	1	1	yes	no	no	yes	yes	18	0.55	33
ORTHOMCL404	0	0	1	0	0	no	no	yes	no	no	19	1.19	16
ORTHOMCL405	0	0	1	1	0	no	no	yes	yes	no	10	0.40	25
ORTHOMCL406	1	1	1	0	0	yes	yes	yes	no	no	7	0.17	41
ORTHOMCL407	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.41	51
ORTHOMCL408	1	1	1	1	1	yes	yes	yes	yes	yes	23	0.45	51
ORTHOMCL409	1	1	1	1	1	yes	yes	yes	yes	yes	23	0.45	51
ORTHOMCL410	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.45	49
ORTHOMCL411	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.43	42
ORTHOMCL412	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.36	50
ORTHOMCL413	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.31	51
ORTHOMCL414	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.35	48
ORTHOMCL415	1	1	1	1	1	yes	yes	yes	yes	yes	26	0.51	51
ORTHOMCL416	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.43	37
ORTHOMCL417	1	1	1	0	1	yes	yes	yes	no	yes	13	0.31	42
ORTHOMCL418	1	1	1	1	1	yes	yes	yes	yes	yes	26	0.54	48
ORTHOMCL419	1	1	1	1	1	yes	yes	yes	yes	yes	23	0.55	42
ORTHOMCL420	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.31	48
ORTHOMCL421	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.31	51
ORTHOMCL422	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL423	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.55	49
ORTHOMCL424	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.45	49
ORTHOMCL425	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.25	51
ORTHOMCL426	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL427	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.41	51
ORTHOMCL428	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.35	48
ORTHOMCL429	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL430	0	0	0	1	1	no	no	no	yes	yes	30	1.88	16
ORTHOMCL431	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.54	50
ORTHOMCL432	1	0	1	1	1	yes	no	yes	yes	yes	13	0.30	43
ORTHOMCL433	1	1	1	1	1	yes	yes	yes	yes	yes	23	0.46	50
ORTHOMCL434	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.41	51
ORTHOMCL435	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.68	40
ORTHOMCL436	0	1	0	0	0	no	yes	no	no	no	8	0.53	15
ORTHOMCL437	1	0	0	1	0	yes	no	no	yes	no	10	0.40	25
ORTHOMCL438	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.31	51
ORTHOMCL439	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL440	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.46	46
ORTHOMCL441	0	1	1	1	1	no	yes	yes	yes	yes	17	0.47	36
ORTHOMCL442	1	0	1	1	1	yes	no	yes	yes	yes	45	3.00	15
ORTHOMCL443	1	1	1	1	0	yes	yes	yes	yes	no	15	0.42	36
ORTHOMCL444	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL445	0	1	1	0	0	no	yes	yes	no	no	2	0.05	39
ORTHOMCL446	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.41	51
ORTHOMCL447	1	0	1	1	1	yes	no	yes	yes	yes	18	0.43	42
ORTHOMCL448	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.33	51
ORTHOMCL449	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL450	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.26	50
ORTHOMCL451	1	1	1	1	1	yes	yes	yes	yes	yes	26	0.52	50
ORTHOMCL452	0	1	0	1	0	no	yes	no	yes	no	9	0.23	39
ORTHOMCL453	1	1	1	1	1	yes	yes	yes	yes	yes	28	0.55	51
ORTHOMCL454	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.63	43
ORTHOMCL455	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.53	51
ORTHOMCL456	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.41	51
ORTHOMCL457	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.44	48
ORTHOMCL458	1	1	1	0	1	yes	yes	yes	no	yes	21	0.55	38
ORTHOMCL459	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.48	42
ORTHOMCL460	1	1	1	1	1	yes	yes	yes	yes	yes	12	0.24	49
ORTHOMCL461	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.35	51
ORTHOMCL462	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL463	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.34	44
ORTHOMCL464	0	1	1	1	1	no	yes	yes	yes	yes	10	0.20	50
ORTHOMCL465	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.40	50
ORTHOMCL466	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.35	51
ORTHOMCL467	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.30	50
ORTHOMCL468	1	0	0	1	0	yes	no	no	yes	no	21	0.64	33
ORTHOMCL469	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL470	1	0	0	1	1	yes	no	no	yes	yes	16	0.59	27
ORTHOMCL471	1	0	1	0	1	yes	no	yes	no	yes	130	6.50	20
