OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL113	1	1	1	1	1	yes	no	yes	no	yes	316	8.10	39
ORTHOMCL114	1	1	1	1	1	no	yes	no	yes	yes	315	7.33	43
ORTHOMCL115	0	0	1	1	0	no	no	yes	no	no	315	17.50	18
ORTHOMCL116	1	1	1	1	1	yes	yes	yes	yes	yes	314	6.16	51
ORTHOMCL117	1	1	1	1	1	yes	yes	no	yes	yes	313	6.80	46
ORTHOMCL118	1	1	1	1	1	yes	yes	yes	yes	yes	310	6.08	51
ORTHOMCL119	1	1	1	1	1	no	no	yes	yes	yes	308	6.29	49
ORTHOMCL120	1	1	0	1	1	no	yes	no	yes	yes	304	8.22	37
ORTHOMCL121	1	1	1	1	1	yes	yes	yes	yes	yes	304	5.96	51
ORTHOMCL122	1	1	1	1	1	yes	yes	yes	no	yes	304	6.08	50
ORTHOMCL123	1	1	1	1	0	no	no	no	yes	no	303	9.77	31
ORTHOMCL124	1	1	1	1	1	yes	yes	yes	yes	yes	303	5.94	51
ORTHOMCL125	1	1	1	1	1	yes	no	yes	no	yes	300	6.12	49
ORTHOMCL126	1	1	1	1	1	yes	yes	yes	yes	yes	299	5.86	51
ORTHOMCL127	1	0	1	1	1	no	no	yes	yes	yes	298	8.51	35
ORTHOMCL128	1	1	1	1	1	yes	yes	yes	yes	yes	297	5.82	51
ORTHOMCL129	1	1	1	1	1	yes	yes	yes	yes	yes	296	5.80	51
ORTHOMCL130	1	1	1	1	1	yes	yes	yes	yes	yes	296	5.80	51
ORTHOMCL131	1	1	1	1	0	yes	no	yes	yes	no	291	6.19	47
ORTHOMCL132	1	1	1	1	1	no	no	no	yes	yes	290	7.25	40
ORTHOMCL133	0	1	1	0	0	no	no	no	no	no	290	24.17	12
ORTHOMCL134	1	1	1	1	1	yes	yes	yes	yes	yes	288	5.65	51
ORTHOMCL135	1	1	1	1	1	yes	no	yes	no	yes	288	6.26	46
ORTHOMCL136	1	1	1	1	1	yes	yes	yes	yes	yes	288	5.65	51
ORTHOMCL137	1	1	1	1	1	yes	yes	yes	yes	yes	287	5.63	51
ORTHOMCL138	1	1	1	1	1	no	yes	no	yes	yes	286	8.67	33
ORTHOMCL139	1	1	1	1	1	yes	yes	no	yes	yes	286	5.72	50
ORTHOMCL140	1	1	1	1	1	yes	yes	yes	yes	yes	286	5.61	51
ORTHOMCL141	1	1	1	1	1	yes	yes	yes	yes	yes	284	5.57	51
ORTHOMCL142	1	1	1	1	1	yes	no	yes	yes	yes	284	5.68	50
ORTHOMCL143	1	1	1	1	1	yes	yes	yes	yes	yes	282	5.53	51
ORTHOMCL144	1	1	1	1	1	yes	yes	yes	yes	yes	281	5.51	51
ORTHOMCL145	1	1	1	1	1	yes	yes	yes	yes	yes	280	5.49	51
ORTHOMCL146	1	1	1	1	1	yes	yes	yes	yes	yes	279	5.47	51
ORTHOMCL147	1	1	1	1	1	yes	no	no	yes	yes	279	6.80	41
ORTHOMCL148	1	1	1	1	1	yes	no	no	no	yes	278	5.91	47
ORTHOMCL149	1	1	1	1	0	no	no	yes	no	no	277	6.76	41
ORTHOMCL150	1	1	1	1	1	no	no	no	no	yes	277	10.65	26
ORTHOMCL151	1	1	1	1	1	yes	yes	yes	no	yes	276	5.52	50
ORTHOMCL152	1	1	1	1	1	yes	yes	yes	yes	yes	275	5.39	51
ORTHOMCL153	1	1	1	1	1	yes	yes	yes	yes	yes	274	5.37	51
ORTHOMCL154	1	1	1	1	1	yes	no	yes	yes	yes	272	5.55	49
ORTHOMCL155	1	1	1	1	1	yes	no	no	yes	yes	271	6.45	42
ORTHOMCL156	1	1	1	1	0	yes	yes	yes	yes	no	270	5.40	50
ORTHOMCL157	1	1	1	1	1	no	no	no	no	yes	270	14.21	19
ORTHOMCL158	1	1	1	1	1	yes	yes	yes	no	yes	268	5.36	50
ORTHOMCL159	1	1	1	1	1	no	no	yes	no	yes	268	5.96	45
ORTHOMCL160	1	1	1	1	1	yes	no	yes	yes	yes	267	5.80	46
ORTHOMCL161	1	1	1	1	1	yes	yes	yes	yes	yes	267	5.24	51
ORTHOMCL162	1	1	1	1	1	yes	yes	yes	yes	yes	266	5.22	51
ORTHOMCL163	1	1	1	1	1	yes	no	yes	yes	yes	266	5.32	50
ORTHOMCL164	1	1	1	1	1	yes	yes	yes	yes	yes	266	5.22	51
ORTHOMCL165	1	1	1	1	1	yes	yes	yes	yes	yes	266	5.22	51
ORTHOMCL166	1	1	1	1	1	yes	yes	yes	yes	yes	264	5.18	51
ORTHOMCL167	1	1	1	1	1	yes	no	yes	yes	yes	264	5.39	49
ORTHOMCL168	1	1	1	1	1	yes	yes	yes	yes	yes	264	5.18	51
ORTHOMCL169	1	1	1	1	1	yes	no	yes	yes	yes	263	5.60	47
ORTHOMCL170	1	1	1	1	1	yes	no	yes	yes	yes	262	5.24	50
ORTHOMCL171	1	1	1	1	1	yes	no	yes	yes	yes	262	5.35	49
