OG	BFHOLO	BFnonHOLO	nonBFHOLO	nonBFnonHOLO	coreBFHOLO	coreBFnonHOLO	corenonBFHOLO	corenonBFnonHOLO	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL274	1	1	1	1	no	yes	yes	no	84	4.67	18
ORTHOMCL275	1	1	1	1	yes	no	yes	yes	83	4.37	19
ORTHOMCL276	1	1	1	1	yes	no	yes	yes	83	4.37	19
ORTHOMCL277	1	0	1	0	yes	no	yes	no	83	6.38	13
ORTHOMCL278	1	0	1	1	yes	no	yes	no	83	4.88	17
ORTHOMCL279	1	1	1	1	yes	no	yes	yes	83	4.37	19
ORTHOMCL280	0	0	0	0	no	no	no	no	83	13.83	6
ORTHOMCL281	1	1	1	1	yes	yes	yes	yes	83	4.15	20
ORTHOMCL282	1	1	1	1	yes	no	yes	yes	83	4.37	19
ORTHOMCL283	1	1	1	1	yes	yes	yes	yes	83	4.15	20
ORTHOMCL284	1	1	1	1	yes	yes	yes	yes	83	4.15	20
ORTHOMCL285	1	1	1	1	yes	yes	yes	yes	82	4.10	20
ORTHOMCL286	1	1	1	1	yes	yes	yes	yes	82	4.10	20
ORTHOMCL287	1	1	1	1	yes	yes	yes	yes	82	4.10	20
ORTHOMCL288	1	1	1	1	yes	no	yes	no	82	4.56	18
ORTHOMCL289	1	1	1	1	yes	yes	yes	yes	81	4.05	20
ORTHOMCL290	1	1	1	1	yes	yes	yes	yes	81	4.05	20
ORTHOMCL291	1	1	1	1	yes	no	yes	yes	81	4.26	19
ORTHOMCL292	1	1	1	1	yes	yes	yes	yes	81	4.05	20
ORTHOMCL293	1	1	1	1	yes	yes	yes	yes	81	4.05	20
ORTHOMCL294	1	1	1	1	yes	no	yes	yes	81	4.26	19
ORTHOMCL295	1	1	1	1	yes	yes	yes	yes	81	4.05	20
ORTHOMCL296	1	1	1	1	yes	yes	yes	yes	80	4.00	20
ORTHOMCL297	1	1	1	1	yes	yes	yes	yes	80	4.00	20
ORTHOMCL298	1	1	1	1	no	yes	yes	no	80	4.44	18
ORTHOMCL299	1	1	1	1	yes	yes	yes	yes	80	4.00	20
ORTHOMCL300	1	1	1	1	yes	yes	yes	yes	80	4.00	20
ORTHOMCL301	1	1	1	1	yes	yes	yes	yes	80	4.00	20
ORTHOMCL302	1	1	1	1	yes	no	yes	yes	80	4.21	19
ORTHOMCL303	1	0	1	1	yes	no	yes	no	80	4.71	17
ORTHOMCL304	0	0	0	0	no	no	no	no	80	16.00	5
ORTHOMCL305	1	1	1	1	yes	yes	yes	yes	80	4.00	20
ORTHOMCL306	1	1	1	1	yes	yes	yes	yes	80	4.00	20
ORTHOMCL307	1	1	1	1	yes	no	yes	no	80	4.44	18
ORTHOMCL308	0	1	0	1	no	yes	no	yes	80	5.71	14
ORTHOMCL309	1	1	1	1	yes	no	yes	yes	79	4.16	19
ORTHOMCL310	1	0	1	0	yes	no	yes	no	79	6.58	12
ORTHOMCL311	1	1	1	1	yes	yes	yes	yes	79	3.95	20
ORTHOMCL312	1	1	1	1	yes	no	yes	no	79	4.39	18
ORTHOMCL313	1	1	1	1	yes	yes	yes	yes	79	3.95	20
ORTHOMCL314	1	0	1	0	yes	no	yes	no	79	6.58	12
ORTHOMCL315	1	1	1	1	yes	yes	yes	yes	79	3.95	20
ORTHOMCL316	1	1	1	1	no	yes	yes	yes	79	4.16	19
ORTHOMCL317	1	1	1	1	yes	no	yes	yes	79	4.16	19
ORTHOMCL318	1	1	1	1	yes	yes	yes	yes	79	3.95	20
ORTHOMCL319	1	1	1	1	yes	yes	yes	yes	78	3.90	20
ORTHOMCL320	1	1	1	1	yes	yes	yes	yes	78	3.90	20
ORTHOMCL321	1	1	1	1	yes	no	yes	yes	78	4.11	19
ORTHOMCL322	1	1	1	1	yes	yes	yes	yes	78	3.90	20
ORTHOMCL323	0	0	0	0	no	no	no	no	78	78.00	1
ORTHOMCL324	1	1	1	1	yes	yes	yes	no	78	4.11	19
ORTHOMCL325	1	1	1	1	yes	yes	yes	yes	78	3.90	20
ORTHOMCL326	1	0	1	1	yes	no	yes	no	78	4.59	17
ORTHOMCL327	1	1	1	0	no	yes	yes	no	77	4.53	17
ORTHOMCL328	1	0	1	1	no	no	yes	no	77	4.81	16
ORTHOMCL329	0	0	0	0	no	no	no	no	77	25.67	3
ORTHOMCL330	1	1	1	1	yes	yes	yes	yes	77	3.85	20
ORTHOMCL331	1	0	1	1	no	no	yes	no	77	4.81	16
ORTHOMCL332	1	0	1	0	yes	no	yes	no	77	5.13	15
ORTHOMCL333	1	1	1	1	yes	no	yes	yes	77	4.05	19
ORTHOMCL334	1	1	1	1	yes	no	yes	yes	77	4.05	19
ORTHOMCL335	1	1	1	1	no	no	yes	yes	77	4.28	18
ORTHOMCL336	1	0	1	1	no	no	yes	no	77	5.13	15
ORTHOMCL337	1	1	1	1	yes	yes	yes	yes	77	3.85	20
ORTHOMCL338	0	1	1	1	no	no	yes	no	77	4.81	16
ORTHOMCL339	0	0	0	0	no	no	no	no	76	7.60	10
ORTHOMCL340	1	1	1	1	yes	yes	yes	no	76	4.00	19
ORTHOMCL341	1	0	1	1	no	no	yes	no	76	4.75	16
ORTHOMCL342	1	0	1	1	yes	no	yes	no	76	4.47	17
ORTHOMCL343	1	1	1	1	yes	no	yes	no	76	4.22	18
ORTHOMCL344	1	1	1	1	yes	yes	yes	yes	76	3.80	20
ORTHOMCL345	1	1	1	1	yes	no	yes	no	76	4.22	18
ORTHOMCL346	0	0	0	0	no	no	no	no	76	10.86	7
ORTHOMCL347	1	1	1	1	yes	yes	yes	no	76	4.00	19
ORTHOMCL348	1	0	1	1	no	no	yes	no	76	4.75	16
ORTHOMCL349	1	1	1	1	yes	yes	yes	yes	76	3.80	20
ORTHOMCL350	0	0	0	0	no	no	no	no	75	75.00	1
ORTHOMCL351	1	0	1	0	no	no	yes	no	75	5.77	13
ORTHOMCL352	1	1	1	1	no	yes	yes	yes	75	3.95	19
ORTHOMCL353	0	0	0	1	no	no	no	yes	75	7.50	10
ORTHOMCL354	1	1	1	1	yes	no	yes	yes	75	3.95	19
ORTHOMCL355	1	1	1	1	yes	yes	yes	yes	75	3.75	20
ORTHOMCL356	1	0	1	0	yes	no	yes	no	75	6.25	12
ORTHOMCL357	1	1	1	1	yes	yes	yes	yes	75	3.75	20
ORTHOMCL358	1	1	1	1	yes	no	yes	yes	75	3.95	19
ORTHOMCL359	1	1	1	1	yes	yes	yes	yes	75	3.75	20
ORTHOMCL360	1	1	1	1	yes	yes	yes	yes	75	3.75	20
ORTHOMCL361	1	1	1	1	yes	no	yes	no	75	4.17	18
ORTHOMCL362	1	0	1	0	yes	no	yes	no	75	6.25	12
ORTHOMCL363	1	1	1	1	no	yes	yes	yes	74	3.89	19
ORTHOMCL364	0	1	0	1	no	yes	no	yes	74	4.62	16
ORTHOMCL365	1	1	1	1	yes	no	yes	yes	74	3.89	19
ORTHOMCL366	1	1	1	1	no	no	yes	no	74	4.35	17
ORTHOMCL367	1	0	1	1	yes	no	yes	no	74	4.35	17
ORTHOMCL368	1	0	1	1	yes	no	yes	no	74	4.93	15
ORTHOMCL369	1	1	1	1	yes	no	yes	yes	74	3.89	19
ORTHOMCL370	1	1	1	1	yes	yes	yes	yes	74	3.70	20
ORTHOMCL371	1	1	1	1	yes	yes	yes	yes	74	3.70	20
ORTHOMCL372	1	1	1	1	no	yes	yes	no	74	4.11	18
ORTHOMCL373	1	1	1	1	yes	yes	yes	yes	73	3.65	20
ORTHOMCL374	1	1	1	1	no	yes	yes	yes	73	3.84	19
ORTHOMCL375	0	0	0	1	no	no	no	no	73	9.12	8
ORTHOMCL376	1	1	0	0	no	yes	no	no	73	5.62	13
ORTHOMCL377	1	1	1	1	yes	yes	yes	yes	73	3.65	20
ORTHOMCL378	1	0	1	0	no	no	yes	no	73	5.21	14
ORTHOMCL379	1	0	1	1	no	no	yes	no	73	4.56	16
ORTHOMCL380	1	1	1	1	yes	yes	yes	yes	73	3.65	20
ORTHOMCL381	0	1	1	0	no	no	yes	no	73	5.62	13
ORTHOMCL382	1	1	1	1	yes	yes	yes	yes	73	3.65	20
ORTHOMCL383	1	1	1	1	yes	yes	yes	yes	73	3.65	20
ORTHOMCL384	0	0	1	1	no	no	yes	no	73	4.87	15
ORTHOMCL385	1	1	1	1	yes	yes	yes	yes	73	3.65	20
ORTHOMCL386	0	0	0	0	no	no	no	no	73	18.25	4
ORTHOMCL387	1	1	1	1	yes	yes	yes	yes	73	3.65	20
ORTHOMCL388	1	1	1	1	yes	yes	yes	yes	72	3.60	20
ORTHOMCL389	0	0	0	0	no	no	no	no	72	72.00	1
ORTHOMCL390	1	1	1	1	yes	yes	yes	yes	72	3.60	20
ORTHOMCL391	1	1	1	1	yes	yes	yes	yes	72	3.60	20
ORTHOMCL392	1	1	1	1	yes	no	no	yes	72	4.00	18
ORTHOMCL393	1	1	1	1	no	no	yes	yes	72	4.00	18
ORTHOMCL394	1	1	1	0	yes	no	yes	no	72	4.24	17
ORTHOMCL395	1	1	1	1	no	no	yes	yes	72	4.00	18
ORTHOMCL396	0	0	0	1	no	no	no	no	72	6.00	12
ORTHOMCL397	1	1	1	1	yes	no	yes	yes	72	3.79	19
ORTHOMCL398	0	0	1	0	no	no	yes	no	72	9.00	8
ORTHOMCL399	1	0	1	0	no	no	yes	no	72	5.14	14
ORTHOMCL400	1	0	1	1	yes	no	yes	yes	72	4.00	18
ORTHOMCL401	1	1	1	1	yes	yes	yes	yes	72	3.60	20
ORTHOMCL402	1	1	1	0	yes	yes	yes	no	72	4.24	17
ORTHOMCL403	1	0	1	1	yes	no	yes	yes	72	4.00	18
ORTHOMCL404	1	1	1	1	yes	yes	yes	yes	72	3.60	20
ORTHOMCL405	1	1	1	1	yes	no	yes	no	72	4.00	18
ORTHOMCL406	1	1	1	1	yes	yes	yes	yes	72	3.60	20
ORTHOMCL407	1	1	1	1	no	yes	yes	yes	71	3.74	19
ORTHOMCL408	1	1	1	1	yes	no	yes	no	71	3.94	18
ORTHOMCL409	1	1	1	1	yes	no	yes	yes	71	3.74	19
ORTHOMCL410	1	1	1	1	yes	no	yes	no	71	3.94	18
ORTHOMCL411	1	1	1	1	yes	yes	yes	yes	71	3.55	20
ORTHOMCL412	1	1	1	1	no	yes	yes	no	71	3.94	18
ORTHOMCL413	0	0	1	0	no	no	no	no	71	7.89	9
ORTHOMCL414	1	1	1	1	yes	yes	yes	yes	71	3.55	20
ORTHOMCL415	1	1	1	1	no	yes	yes	yes	71	3.74	19
ORTHOMCL416	1	0	1	0	no	no	yes	no	71	7.10	10
ORTHOMCL417	1	0	1	1	no	no	yes	no	71	4.73	15
ORTHOMCL418	1	0	1	1	yes	no	yes	no	70	4.38	16
ORTHOMCL419	0	0	0	0	no	no	no	no	70	70.00	1
ORTHOMCL420	1	1	1	1	yes	yes	yes	yes	70	3.50	20
ORTHOMCL421	1	1	1	1	yes	no	yes	yes	70	3.68	19
ORTHOMCL422	1	1	1	1	yes	yes	yes	yes	70	3.50	20
ORTHOMCL423	1	0	1	1	yes	no	yes	no	70	4.12	17
ORTHOMCL424	1	0	1	0	yes	no	no	no	70	5.00	14
ORTHOMCL425	1	1	1	1	yes	yes	yes	yes	70	3.50	20
ORTHOMCL426	1	0	1	0	no	no	yes	no	70	5.83	12
ORTHOMCL427	0	0	1	1	no	no	yes	no	70	5.00	14
ORTHOMCL428	1	1	1	1	no	no	yes	no	70	4.12	17
ORTHOMCL429	1	0	1	0	no	no	yes	no	70	5.00	14
ORTHOMCL430	0	0	0	0	no	no	no	no	70	35.00	2
ORTHOMCL431	1	1	1	1	no	no	yes	yes	70	3.89	18
ORTHOMCL432	1	1	1	1	yes	no	yes	yes	70	3.68	19
ORTHOMCL433	0	1	1	1	no	no	yes	no	70	4.67	15
ORTHOMCL434	1	1	1	1	yes	no	yes	yes	70	3.68	19
ORTHOMCL435	1	1	1	1	yes	yes	yes	yes	69	3.45	20
ORTHOMCL436	1	1	1	1	yes	no	yes	no	69	3.83	18
ORTHOMCL437	0	0	0	0	no	no	no	no	69	13.80	5
ORTHOMCL438	1	1	1	1	yes	no	yes	no	69	3.83	18
ORTHOMCL439	0	0	1	0	no	no	yes	no	69	5.31	13
ORTHOMCL440	1	0	1	1	yes	no	yes	no	69	4.31	16
ORTHOMCL441	1	0	1	0	yes	no	yes	no	69	4.31	16
ORTHOMCL442	1	0	1	1	no	no	yes	yes	69	4.06	17
ORTHOMCL443	1	1	1	1	yes	yes	yes	yes	69	3.45	20
ORTHOMCL444	1	1	1	1	yes	no	yes	no	69	3.83	18
ORTHOMCL445	1	1	1	1	yes	yes	yes	yes	69	3.45	20
ORTHOMCL446	1	1	1	1	yes	yes	yes	no	69	3.63	19
ORTHOMCL447	1	1	1	1	yes	yes	yes	yes	69	3.45	20
ORTHOMCL448	1	1	1	1	yes	yes	yes	yes	69	3.45	20
ORTHOMCL449	0	1	1	1	no	no	yes	yes	69	4.06	17
ORTHOMCL450	1	1	1	1	yes	yes	yes	yes	69	3.45	20
ORTHOMCL451	1	1	1	1	no	yes	yes	yes	69	3.63	19
ORTHOMCL452	1	1	1	1	no	yes	yes	yes	69	3.63	19
ORTHOMCL453	0	0	0	1	no	no	no	no	69	9.86	7
ORTHOMCL454	1	1	1	1	yes	yes	yes	yes	68	3.40	20
ORTHOMCL455	1	0	1	0	no	no	yes	no	68	4.53	15
ORTHOMCL456	1	1	1	1	yes	yes	yes	yes	68	3.40	20
ORTHOMCL457	1	1	1	1	no	yes	yes	no	68	3.78	18
ORTHOMCL458	1	1	1	1	yes	yes	yes	yes	68	3.40	20
ORTHOMCL459	1	0	1	0	yes	no	yes	no	68	5.67	12
ORTHOMCL460	1	1	1	1	yes	yes	yes	yes	68	3.40	20
ORTHOMCL461	1	1	1	1	no	yes	yes	yes	68	3.58	19
ORTHOMCL462	0	1	0	1	no	yes	no	yes	68	6.18	11
ORTHOMCL463	0	1	1	1	no	yes	yes	yes	68	3.78	18
ORTHOMCL464	1	1	1	1	yes	no	yes	yes	68	3.58	19
ORTHOMCL465	1	1	1	1	yes	no	yes	yes	68	3.58	19
ORTHOMCL466	1	1	1	1	yes	no	yes	yes	67	3.53	19
ORTHOMCL467	1	1	1	0	yes	no	yes	no	67	3.94	17
ORTHOMCL468	1	1	1	1	yes	yes	yes	yes	67	3.35	20
ORTHOMCL469	1	1	1	1	yes	yes	yes	no	67	3.53	19
ORTHOMCL470	1	1	1	1	yes	no	yes	yes	67	3.53	19
ORTHOMCL471	1	0	1	1	yes	no	yes	no	67	3.94	17
ORTHOMCL472	1	1	0	1	yes	no	no	no	67	4.79	14
ORTHOMCL473	1	1	1	1	yes	yes	yes	yes	67	3.35	20
ORTHOMCL474	1	1	1	1	yes	yes	yes	yes	67	3.35	20
ORTHOMCL475	1	1	1	1	yes	yes	yes	yes	67	3.35	20
ORTHOMCL476	1	1	1	1	no	yes	yes	no	67	3.72	18
ORTHOMCL477	1	1	1	1	yes	no	yes	no	67	3.72	18
ORTHOMCL478	1	1	1	1	yes	no	yes	no	67	3.72	18
ORTHOMCL479	0	0	1	0	no	no	yes	no	67	5.15	13
ORTHOMCL480	1	1	1	1	yes	yes	yes	yes	67	3.35	20
ORTHOMCL481	1	1	1	1	yes	yes	yes	yes	67	3.35	20
ORTHOMCL482	1	1	1	1	yes	no	yes	yes	67	3.53	19
ORTHOMCL483	1	1	1	1	no	yes	yes	yes	67	3.53	19
ORTHOMCL484	1	1	1	1	yes	yes	yes	yes	67	3.35	20
ORTHOMCL485	1	1	1	1	yes	no	yes	no	67	3.72	18
ORTHOMCL486	1	1	1	1	yes	yes	yes	yes	67	3.35	20
ORTHOMCL487	1	0	1	0	yes	no	yes	no	67	4.19	16
ORTHOMCL488	1	1	1	1	yes	yes	yes	yes	66	3.30	20
ORTHOMCL489	1	1	1	0	yes	no	yes	no	66	3.88	17
ORTHOMCL490	1	0	1	0	no	no	yes	no	66	7.33	9
ORTHOMCL491	1	1	1	1	yes	yes	yes	yes	66	3.30	20
ORTHOMCL492	0	0	1	1	no	no	no	no	66	5.50	12
ORTHOMCL493	1	1	1	1	yes	yes	yes	yes	66	3.30	20
ORTHOMCL494	1	1	1	1	yes	no	yes	yes	66	3.47	19
ORTHOMCL495	0	0	0	1	no	no	no	no	66	8.25	8
ORTHOMCL496	1	1	1	1	no	no	yes	no	66	3.88	17
ORTHOMCL497	1	0	1	1	yes	no	yes	no	66	3.88	17
ORTHOMCL498	1	1	1	1	yes	yes	yes	yes	66	3.30	20
ORTHOMCL499	1	1	1	1	yes	yes	yes	yes	65	3.25	20
ORTHOMCL500	1	0	1	1	no	no	yes	no	65	4.06	16
ORTHOMCL501	0	0	0	0	no	no	no	no	65	6.50	10
ORTHOMCL502	0	1	0	1	no	yes	no	yes	65	4.64	14
